Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:76bFnhaWCCdBF89gCCB9XT,Confession,spotify:artist:4krzW7npHakAUVkm8EltD2,Stardust,spotify:album:4dGUT8RWvO4l9IIUmkqwBr,Confession,spotify:artist:4krzW7npHakAUVkm8EltD2,Stardust,2/15/2025,https://i.scdn.co/image/ab67616d0000b273669a4ffb29f3c8d194a0c5d6,1,1,111672,https://p.scdn.co/mp3-preview/a341e7220c736e8a0aabb75dd4137cda08e4ae6d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,33,QZHN32517800,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:0Cqj9gGL6ZB1gP1eKu14qp,ROCK PAPER SCISSORS!,spotify:artist:1lVN3ysg7IblYuk27iDPre,Dyolow,spotify:album:6WLQiWzfSkntkJ10KhaRpH,ROCK PAPER SCISSORS!,spotify:artist:1lVN3ysg7IblYuk27iDPre,Dyolow,7/3/2025,https://i.scdn.co/image/ab67616d0000b273def946edaf541ac8cac2f9ec,1,1,97965,https://p.scdn.co/mp3-preview/08f783f9eef72a9f171957d707ba331485a204fa?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,39,GB2LD2510311,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:5iqhSCGDKdSFscelnrI979,whenever,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:66dqiWgtKZT9RTzWsKpWjH","Zachz Winner, little winters",spotify:album:4b9EAsVYt63Hsislm0YhGl,whenever,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:66dqiWgtKZT9RTzWsKpWjH","Zachz Winner, little winters",7/4/2025,https://i.scdn.co/image/ab67616d0000b273347f4d978a8d9e830efc0f07,1,1,126037,https://p.scdn.co/mp3-preview/4548e8c9e343b70310558b4111556d7aabfda19a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,43,CA5KR2540840,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:5zIfkpQvTJlUbV67bbwg8K,discopled,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:7BFXtdXfpw2kj0kAOs73cn, spotify:artist:2BXKusu1rTTyvJ7NqHq1ra","Zachz Winner, springs!, maxwell4k",spotify:album:71qC9F783MAQx0GhBbmznF,the tale of goat and squareman's magical balls,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,5/19/2025,https://i.scdn.co/image/ab67616d0000b273a3f238c6bfb8d54dda300b79,1,5,86504,https://p.scdn.co/mp3-preview/640999db99d25a53cd81acdd2abb41c71d1e3820?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,46,DGA0S2487208,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:0gWfJUB9JbQeQg4Re6xPET,First Song - Zachz Winner & Gaiyu Remix,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:73BH5cHMMQNlyoHm8iUL7I, spotify:artist:36gY7YbnGK4iFYJeSqAxZG","Zachz Winner, Gaiyu, Roga.",spotify:album:71qC9F783MAQx0GhBbmznF,the tale of goat and squareman's magical balls,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,5/19/2025,https://i.scdn.co/image/ab67616d0000b273a3f238c6bfb8d54dda300b79,1,12,84026,https://p.scdn.co/mp3-preview/b4f4ad4dc7c8e1cd0b382e07464467d03eeedd31?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,FRX282532390,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:3YQHcwZ9cb5aSEr8EwMSiJ,linga guli guli,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,spotify:album:71qC9F783MAQx0GhBbmznF,the tale of goat and squareman's magical balls,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,5/19/2025,https://i.scdn.co/image/ab67616d0000b273a3f238c6bfb8d54dda300b79,1,14,67500,https://p.scdn.co/mp3-preview/b7b38f63eaddd68b61fbfe24957b43db699930bf?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,46,DGA0R2425135,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:0zPI7oxSnACtqQHsMvtVCh,Boogie,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:3IIpbS5XHnLSdXTP4c1YN2, spotify:artist:1tE2eVlHSwplXAtuYtlBeZ","Zachz Winner, фрози, joyful",spotify:album:7MV4wgsgO7p6tWsfR5xlNc,Boogie,"spotify:artist:3eb6CZwogsXvGkmEUYa9XV, spotify:artist:3IIpbS5XHnLSdXTP4c1YN2, spotify:artist:1tE2eVlHSwplXAtuYtlBeZ","Zachz Winner, фрози, joyful",1/31/2025,https://i.scdn.co/image/ab67616d0000b27309f82a3c1804cca747e830aa,1,1,122827,https://p.scdn.co/mp3-preview/0767f9e23d7e8c424389a27396f1f8b1e1155846?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,GB2LD2510024,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:3s1vLoxcml3hyCUZFqj2Xg,doodle,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,spotify:album:71qC9F783MAQx0GhBbmznF,the tale of goat and squareman's magical balls,spotify:artist:3eb6CZwogsXvGkmEUYa9XV,Zachz Winner,5/19/2025,https://i.scdn.co/image/ab67616d0000b273a3f238c6bfb8d54dda300b79,1,2,73918,https://p.scdn.co/mp3-preview/c130a8a39cf8ca724c0197322b5b75af04ca68fb?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,GX89G2443655,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:5Xt3SYcLc6Y2818DTExT24,it comes in waves,spotify:artist:0JQvu1EaZoLDaOyaex7xFn,Majoraeclipse,spotify:album:5nlOhM2Wlq8AmImdSr7LWo,"through heaven, hell & purgatory",spotify:artist:0JQvu1EaZoLDaOyaex7xFn,Majoraeclipse,6/6/2025,https://i.scdn.co/image/ab67616d0000b273bf27aa85cfbf254f6ce80e42,1,5,133339,https://p.scdn.co/mp3-preview/070b14c48c912e4ef72d9f65845f4d8b54950a0c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,6,QZHNC2509885,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
spotify:track:4RNl8yO0mXXtYC7GAvvQKa,money's worth,spotify:artist:0JQvu1EaZoLDaOyaex7xFn,Majoraeclipse,spotify:album:1C6fK1WlNyx8kptlDhV5QO,money's worth,spotify:artist:0JQvu1EaZoLDaOyaex7xFn,Majoraeclipse,1/26/2024,https://i.scdn.co/image/ab67616d0000b273aa37430be821a9cd13decd94,1,1,125408,https://p.scdn.co/mp3-preview/adebbc9c652608725823ece6c8f29201ca8603f0?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,10,QZFZ42423961,spotify:user:gwcljv51wacb0w9y0rfrxi3i6,2025-07-25T11:16:31Z
